X, Y, Z, NX, NY, NZ, IX, IY, IZ, CUTNUM
0.464139204,0.265131754,-0.102853605,0,0.69465837,-0.7193398,-0.026026321,-0.71909613,-0.69442306,20
0.462865787,0.265151925,-0.102834126,0,0.69465837,-0.7193398,-0.018005802,-0.719223183,-0.694545754,20
0.461592093,0.265164754,-0.102821737,0,0.69465837,-0.7193398,-0.009998363,-0.719303844,-0.694623648,20
0.460318446,0.26517025,-0.10281643,0,0.69465837,-0.7193398,-0.001999431,-0.719338362,-0.694656982,20
0.45904469,0.265168418,-0.102818199,0,0.69465837,-0.7193398,0.005998534,-0.719326858,-0.694645873,20
0.457771027,0.265159257,-0.102827046,0,0.69465837,-0.7193398,0.014000847,-0.719269293,-0.694590282,20
0.45649764,0.265142761,-0.102842976,0,0.69465837,-0.7193398,0.022012938,-0.719165494,-0.694490045,20
0.455224162,0.26511891,-0.102866008,0,0.69465837,-0.7193398,0.030043745,-0.719015079,-0.694344791,20
0.453951146,0.265087695,-0.102896152,0,0.69465837,-0.7193398,0.038096479,-0.718817607,-0.694154094,20
0.452678912,0.265049102,-0.102933421,0,0.69465837,-0.7193398,0.046175877,-0.718572499,-0.693917396,20
0.451406507,0.265003066,-0.102977877,0,0.69465837,-0.7193398,0.054294892,-0.718278734,-0.693633711,20
0.450134767,0.264949576,-0.103029532,0,0.69465837,-0.7193398,0.062455257,-0.71793548,-0.693302234,20
0.448864171,0.264888611,-0.103088405,0,0.69465837,-0.7193398,0.070661054,-0.717541727,-0.692921991,20
0.44759414,0.264820095,-0.103154571,0,0.69465837,-0.7193398,0.078923404,-0.717095952,-0.692491511,20
0.446324336,0.264743942,-0.103228111,0,0.69465837,-0.7193398,0.087252177,-0.716596423,-0.692009122,20
0.445056038,0.264660164,-0.103309015,0,0.69465837,-0.7193398,0.095646862,-0.716041864,-0.691473591,20
0.443789546,0.264568718,-0.103397323,0,0.69465837,-0.7193398,0.104113511,-0.715430491,-0.690883195,20
0.442522535,0.264469346,-0.103493285,0,0.69465837,-0.7193398,0.11267624,-0.714758868,-0.690234616,20
0.441257257,0.264362125,-0.103596827,0,0.69465837,-0.7193398,0.121328831,-0.714025583,-0.689526491,20
0.439994139,0.264247005,-0.103707997,0,0.69465837,-0.7193398,0.130077469,-0.71322817,-0.688756437,20
0.438732414,0.264123814,-0.103826962,0,0.69465837,-0.7193398,0.138937071,-0.712363076,-0.687921026,20
0.437470981,0.263992314,-0.10395395,0,0.69465837,-0.7193398,0.147925806,-0.711425956,-0.687016059,20
0.436212074,0.263852605,-0.104088865,0,0.69465837,-0.7193398,0.15703862,-0.710414565,-0.686039371,20
0.434955963,0.263704596,-0.104231796,0,0.69465837,-0.7193398,0.166284656,-0.709325003,-0.684987193,20
0.433700947,0.263547937,-0.10438308,0,0.69465837,-0.7193398,0.175688525,-0.708151048,-0.683853518,20
0.432447267,0.263382476,-0.104542863,0,0.69465837,-0.7193398,0.185261627,-0.706887477,-0.682633302,20
0.431196777,0.263208282,-0.10471108,0,0.69465837,-0.7193398,0.19500351,-0.705530306,-0.681322697,20
0.429949733,0.263025221,-0.10488786,0,0.69465837,-0.7193398,0.204926368,-0.704073534,-0.679915908,20
0.428704558,0.262832856,-0.105073625,0,0.69465837,-0.7193398,0.215058385,-0.702508108,-0.678404194,20
0.427461044,0.262630909,-0.105268643,0,0.69465837,-0.7193398,0.225418632,-0.700825431,-0.676779252,20
0.426221447,0.262419499,-0.105472799,0,0.69465837,-0.7193398,0.236006554,-0.699019504,-0.675035288,20
0.424986028,0.26219843,-0.105686283,0,0.69465837,-0.7193398,0.246838911,-0.697080929,-0.673163228,20
0.423755043,0.261967487,-0.105909302,0,0.69465837,-0.7193398,0.257933914,-0.694999184,-0.671152911,20
0.422525134,0.261725708,-0.106142785,0,0.69465837,-0.7193398,0.269345401,-0.692755621,-0.668986326,20
0.421299757,0.261473406,-0.106386431,0,0.69465837,-0.7193398,0.281067114,-0.690341857,-0.666655382,20
0.420079505,0.261210354,-0.106640457,0,0.69465837,-0.7193398,0.293119971,-0.68774328,-0.664145965,20
0.418864685,0.260936245,-0.106905161,0,0.69465837,-0.7193398,0.305529761,-0.684942789,-0.661441563,20
0.41765562,0.260650738,-0.107180872,0,0.69465837,-0.7193398,0.318324724,-0.681920992,-0.658523447,20
0.416451454,0.260353161,-0.107468239,0,0.69465837,-0.7193398,0.331549166,-0.678652461,-0.655367063,20
0.415251736,0.260042849,-0.107767903,0,0.69465837,-0.7193398,0.345248189,-0.675108618,-0.651944814,20
0.414058999,0.259719872,-0.108079799,0,0.69465837,-0.7193398,0.359436292,-0.671266053,-0.648234092,20
0.412873731,0.259383754,-0.108404384,0,0.69465837,-0.7193398,0.374154081,-0.667091671,-0.644202939,20
0.411696474,0.259033975,-0.108742162,0,0.69465837,-0.7193398,0.389446146,-0.662547375,-0.639814563,20
0.410527836,0.258669969,-0.109093678,0,0.69465837,-0.7193398,0.405361423,-0.657589158,-0.635026468,20
0.409368505,0.258291119,-0.109459529,0,0.69465837,-0.7193398,0.421953571,-0.652166009,-0.629789394,20
0.408219267,0.257896752,-0.109840365,0,0.69465837,-0.7193398,0.439281303,-0.646218595,-0.624046043,20
0.407081034,0.257486139,-0.11023689,0,0.69465837,-0.7193398,0.457408672,-0.639677668,-0.617729543,20
0.405954858,0.257058488,-0.110649867,0,0.69465837,-0.7193398,0.476405216,-0.632462137,-0.610761586,20
0.404841972,0.256612949,-0.111080119,0,0.69465837,-0.7193398,0.49634591,-0.624476749,-0.603050187,20
0.403743819,0.256148605,-0.111528531,0,0.69465837,-0.7193398,0.517310764,-0.615609292,-0.594486983,20
0.402662091,0.25566448,-0.111996045,0,0.69465837,-0.7193398,0.539383905,-0.605727255,-0.584944011,20
